Full comment
Commentaire complet
Escape check
Vérification d'échappement
The nursery exit is barred with a tall child gate.  It has a tamper proof double locking catch keeping it shut.
La sortie de la garderie est barrée d'une grande porte pour enfant. Il y a une serrure à double verrous qui la maintient fermé.
The lock is easy enough to open with you hands free.  Click on Escape to leave.
La serrure est assez facile à ouvrir avec vos mains libres. Cliquez sur Échap pour quitter.
The tamper proof catch will be a challenge with your hands restrained.  Good babies are supposed to stay in the nursery.  Take too long or make too much noise and a nurse might notice you.  Click on Escape to try opening it.  A high evasion skill and less restrictive bondage will make it easier, but you might just be lucky.
La prise inviolable sera un défi avec vos mains attachées. Les bons bébés sont censés rester à la garderie. Prenez trop de temps ou faites trop de bruit et une infirmière pourrait vous remarquer. Cliquez sur Échap pour essayer de l'ouvrir. Un haut niveau de la compétence d'évasion et des contraintes moins restrictives la rendront plus facile à ouvrir, mais vous pourriez simplement avoir de la chance.
Despite your predicament, you skillfully manage to open the gate.  Click on Escape again to leave.
Malgré votre situation difficile, vous parvenez habilement à ouvrir la porte. Cliquez à nouveau sur Échap pour quitter.
You try to open the lock, but your bondage makes it difficult and the mechanism slips shut again.   Click on Escape if you want to try again.
Vous essayez d'ouvrir la serrure, mais votre bondage rend la tâche difficile et le mécanisme se referme. Cliquez sur Échap si vous souhaitez réessayer.
You try to open the lock, it seems to be working until your vibrator distracts you and the mechanism slips shut again.   Click on Escape if you want to try again.
Vous essayez d'ouvrir le verrou, ça semble fonctionner jusqu'à ce que votre vibrateur vous distrait et que le mécanisme se referme. Cliquez sur Échap si vous souhaitez réessayer.
You try to open the lock, but your bondage makes it difficult. You slip and the gate loudly clangs shut again.   Click on Escape if you want to try again.
Vous essayez d'ouvrir la serrure, mais votre bondage rend la tâche difficile. Vous glissez et la porte se referme bruyamment. Cliquez sur Échap si vous souhaitez réessayer.
You try to open the lock, struggling in your bondage. The vibrator distracts you, making you moan loudly and let the mechanism slip shut again.   Click on Escape if you want to try again.
Vous essayez d'ouvrir la serrure en vous débattant dans votre bondage. Le vibrateur vous distrait, vous faisant gémir ce qui laisse le mécanisme se refermer encore. Cliquez sur Échap si vous souhaitez réessayer.
