PlayerGagged,,,Do you need help?  Nod if you do.,,
AlreadyReleased,,,(DialogCharacterName comes to check on you again.)  You're in trouble again?  Do you need help?,,
LearnedLesson,,,"Still in trouble, are we?  Have you learned your lesson?  Nod if you did.",,
TeachLesson,,,It seems that you need to learn a lesson. (She grabs your arms and forces them in an armbinder.  She then gets a gag and silences you.),,
Cower,,,(She gulps and bows her head.)  Yes Miss.  Sorry Miss.,,
CannotRelease,,,I'm sorry Miss.  I cannot help you now.,,
ClubSlaveMustBeNaked,,,"(A maid taps on your shoulder.)  Slave girl, why aren't you naked?",,
MistressExpulsionIntro,,,(A maid greets you as you enter the hall.)  Can I have a word with you Miss DialogPlayerName?,,
MistressExpulsion,,,(The maid leaves you with Club Mistress.)  We Mistresses have been speaking.  It seems you're not fit to wear the heels anymore.,,
ItemMouth,,,(She gives a curious look at the gag but doesn't resist as you silence her.),,
RemoveItemMouth,,,"(You remove her gag slowly.)  Thanks Miss, it will be easier to do my job.",,
ItemArms,,,(She nods and turns around as you restrain her arms securely.)  It will be a kinky workday.,,
RemoveItemArms,,,"(You free her arms and she stretches.)  Thanks head maid DialogPlayerName, this will make my work easier.",,
ItemLegs,,,(She submits as you restrain her legs.)  Another kinky day in our kinky club.,,
RemoveItemLegs,,,(You release her legs while she shakes her butt.)  Thanks Miss.,,
ItemFeet,,,(You restrain her feet securely.)  I'll stay in the hall then.,,
RemoveItemFeet,,,(You release her feet.)  Much better.,,
ItemNeck,,,(You strap the collar on her while she blushes.)  Someday I'll find a wonderful Mistress like you Miss.,,
RemoveItemNeck,,,(You remove the collar around her neck.)  Freedom is overrated.,,
ItemPelvis,,,(She frowns as you lock the device on her.)  I hope you will unlock it after my shift Miss.,,
RemoveItemPelvis,,,(She nods happily as you unlock the device.)  Yes!  That's very nice of you Miss.,,
ItemHead,,,(You strap the device on her head as she mumbles.)  It will be a kinky workday it seems.,,
RemoveItemHead,,,(You remove the device and she nods slowly.)  You're the best head maid DialogPlayerName.,,
ItemBreastLeatherWhip,,,(She jumps from the searing pain on her breast.)  Ouch!  Miss Head Maid!,,
ItemBreastLeatherCrop,,,(You whip her breast with the leather crop as she whimpers and bows her head.),,
ItemPelvisLeatherWhip,,,(You whip her butt hard as she sighs.)  I promise I'll work harder Miss Head Maid.,,
ItemPelvisLeatherCrop,,,(She grumbles as you strike her butt with the crop.)  A maid work isn't easy.,,
0,,,"(A maid walks by and greets you.)  Hi naked girl, are you in trouble?  Do you need help?",,Player.IsNaked()
