Preferences,- Preferences -
ChatPreferences,- Chat Preferences -
AudioPreferences,- Audio Preferences -
ArousalPreferences,- Arousal Meter & Sexual Activities Preferences -
SecurityPreferences,- Security Preferences -
CharacterLabelColor,Character label color:
ItemPermission,Item permission:
PermissionLevel0,"Everyone, no exceptions"
PermissionLevel1,"Everyone, except blacklist"
PermissionLevel2,"Owner, Lover, whitelist & Dominants"
PermissionLevel3,"Owner, Lover and whitelist only"
PermissionLevel4,Owner and Lover only
PermissionLevel5,Owner only
ErrorInvalidColor,Put a valid hex #red-green-blue color
ColorTheme,Color theme:
Light,Light
Dark,Dark
EnterLeaveStyle,Enter/Leave message style:
Normal,Normal
Smaller,Smaller
Hidden,Hidden
DisplayMemberNumbers,Display member numbers:
Always,Always
Never,Never
OnMouseover,On Mouseover
DisplayTimestamps,Display timestamps
ColorNames,Color names
ColorActions,Color actions
ColorEmotes,Color emotes
ShowActivities,Show sexual activities & orgasms
AutoBanBlackList,Ban blacklist when creating a room
AutoBanGhostList,Ban ghostlist when creating a room
AudioVolume,Audio volume
AudioPlayBeeps,Audio alarm for beeps
AudioPlayItem,Play item sounds in chatrooms
AudioPlayItemPlayerOnly,Only play item sounds if you're involved
SensDepSetting,Sensory deprivation setting
SensDepNames,Hide names
SensDepTotal,Total
BlindDisableExamine,Disable examining people when blind
DisableAutoRemoveLogin,Keep all of your restraints when relogging
ForceFullHeight,Display all characters at maximum height
EnableAfkTimer,Show AFK bubble if idle for 5 minutes
UpdateEmailDescription,Linking an email will allow password recovery
UpdateEmail,Update Email
UpdateEmailOld,Current email:
UpdateEmailNew,New email:
UpdateEmailEmpty,"No email saved, write here to add one"
UpdateEmailLinked,"An email is linked, write it here to update it"
UpdateEmailSuccess,Your email has been updated !
UpdateEmailFailure,Current email does not match
UpdateEmailInvalid,Invalid characters
ArousalShowOtherMeter,Show other characters meter
ArousalAffectExpression,Affect your facial expressions
ArousalActive,Activation:
ArousalActiveInactive,Disable sexual activities
ArousalActiveNoMeter,Allow without a meter
ArousalActiveManual,Allow with a manual meter
ArousalActiveHybrid,Allow with a hybrid meter
ArousalActiveAutomatic,Allow with a locked meter
ArousalVisible,Meter visibility:
ArousalVisibleAll,Show arousal to everyone
ArousalVisibleAccess,Show if they have access
ArousalVisibleSelf,Show to yourself only
ArousalActivity,Activity preferences:
ArousalActivityLoveSelf,Done on yourself:
ArousalActivityLoveOther,Doing it to others:
ArousalActivityLove0,Forbid/Block it
ArousalActivityLove1,Doesn't like it
ArousalActivityLove2,Neutral on it
ArousalActivityLove3,Like it
ArousalActivityLove4,Adore it
ArousalSelectErogenousZones,Click on yourself to set your erogenous zones
ArousalConfigureErogenousZones,Configure this zone to be erogenous or not
ArousalZoneLove0,Block all activities on this zone
ArousalZoneLove1,"Dislike this zone, it's a turn-off"
ArousalZoneLove2,This zone isn't special for you
ArousalZoneLove3,"Like this zone, it turns you on"
ArousalZoneLove4,"Love this zone, it's a big turn-on"
ArousalAllowOrgasm,This zone can give you an orgasm
ArousalZoneItemBoots,Feet & Toes
ArousalZoneItemFeet,Lower Legs
ArousalZoneItemLegs,Upper Legs
ArousalZoneItemVulva,Clitoris & Vagina
ArousalZoneItemButt,Butt / Anal
ArousalZoneItemPelvis,Pelvis & Belly
ArousalZoneItemTorso,Torso & Ribs
ArousalZoneItemNipples,Nipples
ArousalZoneItemBreast,Breast
ArousalZoneItemArms,Arms & Shoulders
ArousalZoneItemHands,Hands
ArousalZoneItemNeck,Neck
ArousalZoneItemMouth,Mouth & Lips
ArousalZoneItemHead,Head & Hair
ArousalZoneItemEars,Ears
ArousalStutter,Speech stuttering:
ArousalStutterNone,Never stutter
ArousalStutterArousal,When you're aroused
ArousalStutterVibration,When you're vibrated
ArousalStutterAll,Aroused & vibrated
