PlayerGagged,,,"Silence is gold, and a gagged submissive is even better.",,,
TeacherRelease,,,(She releases you and looks disappointed.)  You'll need more practice if you want to become a true escape artist.,,,
ItemMouth,,,(She frowns when you show her the gag but complies and allows you to silence her.),,,
RemoveItemMouth,,,(You remove her gag and she smiles.)  Arigato Miss DialogPlayerName.,,,
ItemEars,,,(You push some earplugs inside.)  It won't be easy to communicate like that.,,,
RemoveItemEars,,,(You pull the earplugs out.)  Much better.  I need to hear what's going on in the Dojo.,,,
ItemArms,,,(She bows her head as you restrain her arms.)  It's an honor to be restrained by you Miss.,,,
RemoveItemArms,,,(You free her arms as she speaks with a soft voice.)  Let me know if I can be of service.,,,
ItemHands,,,(you restrain her hands while she watches you.)  This is getting kinky.,,,
RemoveItemHands,,,(You release her hands and she nods a little.)  Arigato Miss.  Please tell me if these hands can be of use.,,,
ItemLegs,,,(You restrain her legs while she looks down.)  Never forget the upper legs for a good bondage.,,,
RemoveItemLegs,,,(You release her legs and she nods slowly.)  You take good care of all the details.,,,
ItemFeet,,,(She complies as you restrain her feet securely.)  You can also try the suspension ropes from the Dojo if you wish.,,,
RemoveItemFeet,,,(You release her feet.)  It will be a lot easier now to monitor the Dojo.,,,
ItemNeck,,,"(You strap the collar on her neck while she frowns.)  Collars are nice, but I will never wear a permanent one.",,,
RemoveItemNeck,,,(You remove the collar around her neck.)  You should find submissives for that collar.,,,
ItemPelvis,,,(She struggles and shakes her head no while you put the device on her.)  Crap!  Why did you do that?,,,
RemoveItemPelvis,,,(She seems relieved as you remove the device.)  Domo arigato Miss DialogPlayerName.,,,
ItemTorso,,,"(You use the item on her torso.)  Shibari isn't all about restraining, it's also very artistic.",,,
RemoveItemTorso,,,(You remove the item from her torso.)  You can try different shapes and patterns.,,,
ItemButt,,,(She struggles as you slide the device inside.)  This is a Dojo!  Not a sex shop!,,,
RemoveItemButt,,,"(She catches her breath as you remove the butt plug.)  Much better, that wasn't appropriated.",,,
ItemBreast,,,(She holds her breath as you use the item.)  Woah!  Careful with that.,,,
RemoveItemBreast,,,(She stays silent and nods as you remove the device from her breast.),,,
ItemNipples,,,(She holds her breath as you use the item.)  Woah!  Careful with that.,,,
RemoveItemNipples,,,(She stays silent and nods as you remove the device from her breast.),,,
ItemHead,,,(You strap the device on her head as she grumbles.)  Can you watch over the Dojo for me?,,,
RemoveItemHead,,,"(You remove the device and she nods politely.)  Good, that was a little freaky.",,,
ItemBreastLeatherWhip,,,(She grumbles and endures the pain as you whip her breast and tummy.),,,
ItemBreastLeatherCrop,,,(You swing the crop on her breast and tummy.)  I've had tough sensei before Miss.,,,
ItemPelvisLeatherWhip,,,"(You whip her butt, but she doesn't scream much from the stinging pain.)",,,
ItemPelvisLeatherCrop,,,"(You whip her butt with the leather crop, but she doesn't react much.)",,,
ItemVulvaVibratingWand,,,(She blushes as you massage her pussy with the wand.)  Wow!  I didn't expect that.,,,
VibratingEgg,,,(She struggles as you slide the egg inside.)  Hey!  Are you allowed to do that?,,,
