PlayerGagged,,,Keep that gag on and someday you'll be enslaved as a puppy girl.,,
PuppyVictory,,,(The Mistress greets you back with a smile.)  Thanks for taking good care of my pets.,,
PuppyDefeat,,,(The Mistress gives you a furious look.)  My poor pet girl!  You should be ashamed of yourself.,,
0,10,That should be easy.,"(She nods.)  Yes, it will.  Take my four puppy girls to the park, make them walk, play with them for a while and get them back here.","DialogChangeReputation(""Dominant"", 2)",
0,10,What do I need to do?,"Take my four puppy girls to the park, make them walk, play with them for a while and get them back here.",,
0,10,That sounds complicated.,"(She frowns.)  It's not.  Take my four puppy girls to the park, make them walk, play with them for a while and get them back here.","DialogChangeReputation(""Dominant"", -2)",
0,10,How many puppies do you have?,"I have four puppy girls, take them to the park, make them walk, play with them for a while and get them back here.",,
10,20,What's the catch?,"There's no catch, just take them outside and make sure they don't run away.  If you lose one of them, there will be trouble.",,
10,20,Anything I should know?,"Just take them outside and make sure they don't run away.  If you lose one of them, there will be trouble.",,
10,20,You'll pay me after?,"Yes, after the job is done.  Just take them outside and make sure they don't run away.  If you lose one of them, there will be trouble.",,
20,20,What trouble?,Lose one of them and you'll see.  (She smirks.),DialogRemove(),
20,,I'll do it!  (Go walk the puppies.),,PuppyGameStart(),
30,,I know I can do it!  (Go walk the puppies.),,PuppyGameStart(),
100,110,"That was scary, I almost lost them.","(She frowns.)  Well you didn't, here's your money.  (She gives you 100$.)","DialogChangeReputation(""Dominant"", -2)",
100,110,The pleasure was mine.,"(She smiles.)  I'll call you again, here's your money.  (She gives you 100$.)","DialogChangeReputation(""Dominant"", 2)",
100,110,It was funny to take them for a walk.,"(She nods.)  Very good, here's your money.  (She gives you 100$.)",,
100,110,Pets are safe under my control.,"(She gives you a thumbs up.)  I'll remember you, here's your money.  (She gives you 100$.)","DialogChangeReputation(""Dominant"", 4)",
110,,Thank you!  (Leave her.),,End(),
110,,(Take the money and leave her.),,End(),
200,210,I'm so sorry Miss.,"I'll give you a good reason to be sorry, get naked girl!","DialogChangeReputation(""Dominant"", -3)",
200,210,I'll do better next time.,"I'll make sure you will, get naked girl!",,
200,210,Next time I'll bring my whip.,"I'll make sure you will, get naked girl!","DialogChangeReputation(""Dominant"", 1)",
200,210,They were too feisty.,"You need a lesson, get naked girl!","DialogChangeReputation(""Dominant"", -1)",
210,290,Don't you dare touching a Mistress!,"(She gulps.)  Fine Mistress DialogPlayerName, let's speak later then.",,"DialogLogQuery(""ClubMistress"", ""Management"")"
210,,Strip here?,"Don't force me to repeat, get naked girl.",DialogRemove(),
210,220,Fine!  (Strip for her.),"(You strip for her as she smirks.)  Since you cannot take care of puppies, you will become one.","DialogNaked(""Player"")",
210,220,Yes Mistress.  (Strip for her.),"(You strip for her as she smirks.)  Since you cannot take care of puppies, you will become one.","DialogNaked(""Player"")",
220,230,Are you serious?,Very serious.  (She straps you down and dress you as a pet.)  You will learn from that experience.,PuppyPlayer(),
220,230,No way!,Watch me!  (She straps you down and dress you as a pet.)  You will learn from that experience.,PuppyPlayer(),
220,230,(Nod and stay silent.),Good girl.  (She straps you down and dress you as a pet.)  You will learn from that experience.,PuppyPlayer(),
230,290,(Whimper and look down.),"As punishment, you will experience what happened to my poor pet and wander the club restrained.  Now go!","DialogChangeReputation(""Dominant"", -2)",
230,290,(Try to struggle out.),"As punishment, you will experience what happened to my poor pet and wander the club restrained.  Now go!",,
230,290,(Stare at her and grumble.),"As punishment, you will experience what happened to my poor pet and wander the club restrained.  Now go!","DialogChangeReputation(""Dominant"", 2)",
290,30,(Leave her.),,End(),
