PlayerGagged,,,(She looks at you and giggles.)  Did you annoy one of the teachers?,,,
0,,,(She looks at you and giggles.)  Did you annoy one of the teachers?,,Player.IsRestrained(),
0,,,(She gives you a curious look.)  Aren't you cold?  Go get some clothes before a teacher comes.,,Player.IsNaked(),
0,,,Hello fellow student.  I hope you're doing well.,,CanGoInside(),
0,,,Hello there.  Welcome to our college.,,!CanGoInside(),
0,,Who are you?,I'm DialogCharacterName.  I study at the college.,DialogRemove(),,
0,,Why are you here?,I'm waiting for my bus.,DialogRemove(),,
0,,I'm a student here.,"You should wear your uniform then.  They won't let you in without it, some shoes and socks.",,!CanGoInside(),
0,,Can I go inside?,"Absolutely.  Just beep security, they will open the gate for you.",,CanGoInside(),
0,,Can I go inside?,"I don't think they will let you in dressed like that.  Get your school uniform, some shoes and socks.",,!CanGoInside(),
0,,Can I use the tennis court?,"Sure, you're already dressed up to play.",,CanGoTennis(),
0,,Can I use the tennis court?,"You can, but only if you're wearing a tennis outfit and some sneakers.",,!CanGoTennis(),
0,10,Tell me about the college.,Sure.  What would you like to know?,,,
0,20,Can I tie you up?,(She takes a step back.)  What?  Are you some kind of pervert?,DialogRemove(),,TieUpGroup
0,,I need to go.  (Leave her.),,DialogLeave(),,
10,,Who studies here?,"It's a girl only college.  There's only women, both students and teachers.",,,
10,,Is it expensive?,My family is paying so I'm not sure.  I've heard that it's pretty expensive.,,,
10,,What is the required uniform?,"Students must wear ties, a skirt like mine and high leg socks.  Also, nothing too exotic will be accepted.",,,
10,,Can I get a college uniform?,These uniforms are expensive and we can get punished if we lose them.  Try your luck with another student that knows you better.,,!CanGoInside(),
10,,How can I go in the teacher's lounge?,Students are not allowed in there.  You'll need a key for that and they only give them to teachers.,,CanGoInside(),
10,,The place looks pretty old.,"Yeah, both the buildings and teaching methods are outdated.  It's very strict.",,,
10,,Can I take classes?,"Why are you asking me that?  Sure, go inside and get to your classes.",,CanGoInside(),
10,,Can I take classes?,You could register for the next semester if you have the required papers.  It's only in a few months.,,!CanGoInside(),
10,0,Thanks for your time.,No problem.  Is there anything else you want?,,,
20,0,I was kidding.,"(She frowns.)  Yeah, alright.  Is there anything else you want?",,,
20,30,I'm serious.  I want to tie you up.,(She pushes you back.)  No!  I don't know you!  Go away now or I'll call security.,,,
30,,,Go away!  I'm not speaking with you anymore.,,,
30,,(Leave her.),,DialogLeave(),,
